weight_tons,speed_mph,distance_miles,fuel_gallons
28.73,60.87,29.3,69.15
57.54,30.78,115.64,233.03
46.6,26.52,117.31,197.11
39.93,42.03,134.74,161.7
17.8,64.35,150.7,83.82
17.8,30.89,195.65,120.98
12.9,50.25,112.93,62.94
53.31,54.27,78.13,166.61
40.06,30.69,163.13,188.76
45.4,52.77,68.75,133.7
11.03,36.55,99.01,67.2
58.5,48.45,34.12,185.76
51.62,48.51,24.56,143.69
20.62,44.11,193.28,132.12
19.09,24.06,170.48,136.05
19.17,57.59,145.28,87.22
25.21,34.44,93.61,107.48
36.24,28.39,51.19,125.29
31.6,21.83,48.16,115.63
24.56,46.59,65.04,72.91
40.59,50.49,118.86,151.68
16.97,20.75,148.63,120.39
24.61,43.04,138.84,131.33
28.32,30.19,70.39,117.4
32.8,49.03,191.88,182.84
49.26,27.85,152.82,204.02
19.98,51.09,119.78,96.2
35.71,37.4,130.11,153.67
39.62,62.15,95.53,150.49
12.32,26.19,64.59,50.73
40.38,35.35,84.08,138.83
18.53,25.11,156.41,114.24
13.25,61.61,22.59,-6.78
57.44,59.48,40.89,156.14
58.28,31.61,28.28,173.02
50.42,49.7,27.33,142.85
25.23,56.77,173.98,127.01
14.88,44.98,146.66,107.41
44.21,43.83,105.35,171.4
32.01,30.88,37.61,98.17
16.1,24.19,108.49,82.9
34.76,60.37,105.22,124.22
11.72,60.52,51.18,10.24
55.47,48.49,98.09,208.11
22.94,35.26,91.73,108.48
43.13,35.71,130.85,171.81
25.59,52.67,134.32,92.99
36,60.37,28.15,102.02
37.34,59.92,87.43,118.5
19.24,55.09,132.65,100.15
58.48,48.89,110.56,188.48
48.76,23.79,174.17,217
56.97,27.27,138.56,229.71
54.74,60.43,49.33,156.52
39.89,47.29,32.7,108.56
56.09,20.41,135.64,237.32
14.42,24.57,24.77,38.03
19.8,49.86,125.44,89.02
12.26,20.23,189.24,120.69
26.27,27.24,123.59,132.89
29.43,44.69,89.87,115.55
23.57,51.14,135.79,94.51
51.44,49.34,102.49,163.26
27.84,30.09,118.21,140.69
24.05,52.05,189.46,133.99
37.13,30.68,89.5,135.87
17.05,34.64,193.01,140
50.11,53.59,182.96,208.46
13.73,49.23,55.24,52.32
59.34,58.22,32.49,165.19
48.61,49.59,38.14,161.29
19.94,45.57,23.28,65.87
10.28,24.22,37,39.14
50.77,36.55,142.94,214.7
45.34,31.93,32.81,148.74
46.45,30.98,77.42,180.24
48.56,63.79,172.08,179.8
13.7,37.69,24.19,42.57
27.92,60.14,166.6,136.5
15.79,48.4,70.73,36.98
53.16,55.77,41.27,139.41
41.16,42.62,145.41,151.06
26.54,45.96,133.21,115.27
13.18,42.16,177.94,106.87
25.55,28.79,152.31,152.24
26.26,52.51,164.63,126.72
46.48,32.63,70.77,178.61
41.88,21.09,51.94,135.02
54.36,49.05,155.11,194.55
33.61,27.97,165.23,168.12
15.98,62.32,198.29,105.25
45.66,62.93,94.27,145.81
48.04,61.17,86.96,130.95
38.06,36.66,159.75,172.17
48.55,20.7,81.34,170
34.69,61.77,187.54,161.71
36.14,39.27,174.51,175.31
31.38,63.5,97.22,93.32
11.27,63.36,155.16,61.43
15.39,58.39,155.82,73.04
11.57,33.25,38.56,38.5
41.82,37.33,182.46,203.94
25.72,58.3,110.95,85.65
35.43,34.26,168.76,175.9
55.38,27.63,77.61,191.69
22.46,45.06,181.19,119.7
30.52,62.13,90.06,96.86
47.78,51.32,21.95,119.08
21.44,45.65,182.97,119.24
13.85,24.37,36.43,40.35
24.49,47.68,77.48,104.78
18.06,64.55,191.01,103.16
56.48,26.3,191.11,245.56
50.41,43.32,123.22,191.69
41.67,59.48,133.73,153.15
53.57,53.33,100.72,179.02
50.18,51.37,72.78,165.87
19.33,51.61,79.16,74.33
54.63,36.18,141.05,211.07
36.97,33.21,155.43,164.71
50.37,56.42,162.48,193.88
54.8,56.46,162.13,187.17
25.9,59.02,36.42,46.81
15.5,61.1,109,74.4
21.4,43.01,30.36,74.53
31.36,42.57,118.92,126.67
50.9,55.92,99.48,176.08
53.04,49.25,179.79,221.53
10.35,51.59,83.16,71.52
35.54,55.81,41.07,107.7
30.87,60.05,45.74,79.46
21.11,35.21,157.07,110.89
15.99,36.9,131.28,75.57
26.88,24.23,38.2,95.67
57.15,46.02,35.14,161.08
26.16,21.62,146.17,127.86
35.94,40.95,33.1,99.58
45.15,44.42,167.93,181.69
28.18,32.89,147.12,156.62
58.59,46.59,34.64,181.26
58.12,21.37,35.27,191.37
22.59,21.68,197.6,168.9
34.86,57.02,87.37,115.05
25.04,36.21,86.72,91.58
24.24,25.72,166.3,157.14
11.84,43.5,190.5,105.53
40.48,54.65,197.48,172.76
35.13,29.71,155.61,165.77
12.57,48.03,87.73,43.78
23.93,23.84,35.03,69.55
